BaliseA,LatA,LongA,CommuneA,AdresseA,BaliseB,LatB,LongB,CommuneB,AdresseB,Temps de parcours A>B (en min),Temps de parcours B>A (en min)
Montcy-Notre-Dame,49.780363,4.739621,MONTCY-NOTRE-DAME,"21 Rue de Bois Joli, 08090 Montcy-Notre-Dame, France",Mairie de Montcy-Notre-Dame,49.773881,4.742638,MONTCY-NOTRE-DAME,"11 Place J B Clément, 08090 Montcy-Notre-Dame, France",4,4
Etion,49.785662 ,4.695429,CHARLEVILLE-MEZIERES,"207 Rue d'Etion, 08000 Charleville-Mézières, France",N43,49.778295,4.695448,WARCQ,"34 Boulevard Lucien Pierquin, 08000 Warcq, France",6,6
Etion,50.785662 ,4.695430,CHARLEVILLE-MEZIERES,"207 Rue d'Etion, 08000 Charleville-Mézières, France",Damouzy,49.797616,4.675881,DAMOUZY,"2 Rue du Pâquis, 08090 Damouzy, France",8,8
CHU Manchester,49.762408,4.69805,CHARLEVILLE-MEZIERES,"45 Avenue de Manchester, 08000 Charleville-Mézières, France",La Warenne,49.760378,4.685678,CHARLEVILLE-MEZIERES,"Prom. de la Warenne, 08000 Charleville-Mézières, France",5,5
CHU Manchester,49.762409,4.69806,CHARLEVILLE-MEZIERES,"45 Avenue de Manchester, 08000 Charleville-Mézières, France",Mairie de Warcq,49.769007,4.680596,WARCQ,"20 Rue de la République, 08000 Warcq, France",7,7
Parc des expos,49.75669 ,4.708418,CHARLEVILLE-MEZIERES,"61 Boulevard de la Couronne Champagne, 08000 Charleville-Mézières, France",Gare de Mohon,49.752726,4.733241,CHARLEVILLE-MEZIERES,"Gare de Mohon, 08000 Charleville-Mézières, France",9,9
Parc des expos,50.75669 ,4.708419,CHARLEVILLE-MEZIERES,"61 Boulevard de la Couronne Champagne, 08000 Charleville-Mézières, France",Ronde Couture,49.748122,4.720491,CHARLEVILLE-MEZIERES,,7,7
Parc des expos,51.75669 ,4.708420,CHARLEVILLE-MEZIERES,"61 Boulevard de la Couronne Champagne, 08000 Charleville-Mézières, France",[Lotissement random point externe],49.751053,4.705009,CHARLEVILLE-MEZIERES,"30 Rue le Pré au Chêne, 08000 Charleville-Mézières, France",3,3
Parc des expos,52.75669 ,4.708421,CHARLEVILLE-MEZIERES,"61 Boulevard de la Couronne Champagne, 08000 Charleville-Mézières, France",Mairie de Prix-lès-Mézières,49.754407 ,4.687684,PRIX-LES-MEZIERES,"1 Rue d'Evigny, 08000 Prix-lès-Mézières, France",7,8
Ronde Couture,49.748122,4.720491,CHARLEVILLE-MEZIERES,"8 Rue des Mésanges, 08000 Charleville-Mézières, France",[Lotissement random point externe],49.751053,4.705009,CHARLEVILLE-MEZIERES,"30 Rue le Pré au Chêne, 08000 Charleville-Mézières, France",7,7
Ronde Couture,49.748123,4.720492,CHARLEVILLE-MEZIERES,"8 Rue des Mésanges, 08000 Charleville-Mézières, France",Centre Commercial,49.739021, 4.707187,CHARLEVILLE-MEZIERES,"D764, 08000 Les Ayvelles, France",8,9
Ronde Couture,49.748124,4.720493,CHARLEVILLE-MEZIERES,"8 Rue des Mésanges, 08000 Charleville-Mézières, France",Campus Sup Ardennes,49.739113,4.721216,CHARLEVILLE-MEZIERES,"3 Boulevard Jean Delautre, 08000 Charleville-Mézières, France",5,5
Ronde Couture,49.748125,4.720494,CHARLEVILLE-MEZIERES,"8 Rue des Mésanges, 08000 Charleville-Mézières, France",Gare de Mohon,49.752726,4.733241,CHARLEVILLE-MEZIERES,"Gare de Mohon, 08000 Charleville-Mézières, France",5,5
Gare de Mohon,49.752726,4.733241,CHARLEVILLE-MEZIERES,"Gare de Mohon, 08000 Charleville-Mézières, France",Campus Sup Ardennes,49.739113,4.721216,CHARLEVILLE-MEZIERES,"3 Boulevard Jean Delautre, 08000 Charleville-Mézières, France",8,8
Gare de Mohon,49.752727,4.733242,CHARLEVILLE-MEZIERES,"Gare de Mohon, 08000 Charleville-Mézières, France",Pont Voie Ferrée,49.744112,4.735081,CHARLEVILLE-MEZIERES,"10 Rue Paul Bert, 08000 Charleville-Mézières, France",4,4
Gare de Mohon,49.752728,4.733243,CHARLEVILLE-MEZIERES,"Gare de Mohon, 08000 Charleville-Mézières, France",Semeuse,49.748633,4.752874,VILLERS-SEMEUSE,"42 Rue Pierre Curie, 08000 Villers-Semeuse, France",7,7
Romery,49.751174,4.768733,SAINT-LAURENT,"Romery, 08090 Saint-Laurent, France",Le Theux,49.760252,4.739774,CHARLEVILLE-MEZIERES,"86 Rue de Berthaucourt, 08000 Charleville-Mézières, France",14,11
Romery,49.751175,4.768734,SAINT-LAURENT,"Romery, 08090 Saint-Laurent, France",Saint Laurent,49.764183,4.771755,SAINT-LAURENT,"22 Rue des Genêts, 08090 Saint-Laurent, France",14,6
Le Theux,49.760252,4.739774,CHARLEVILLE-MEZIERES,"86 Rue de Berthaucourt, 08000 Charleville-Mézières, France",Saint Laurent,49.764183,4.771755,SAINT-LAURENT,"22 Rue des Genêts, 08090 Saint-Laurent, France",12,7
N43,49.778295,4.695448,WARCQ,"34 Boulevard Lucien Pierquin, 08000 Warcq, France",Mairie de Warcq,49.769007,4.680596,WARCQ,"20 Rue de la République, 08000 Warcq, France",7,6
Mairie de Montcy-Notre-Dame,49.773881,4.742638,MONTCY-NOTRE-DAME,"11 Place J B Clément, 08090 Montcy-Notre-Dame, France",Pont de Nouzonville,49.816503 ,4.740041,NOUZONVILLE,"1 Rue du Pont, 08700 Nouzonville, France",24,24
Aiglemont,49.781557,4.765989,AIGLEMONT,"1 Rue Charles de Gaulle, 08090 Aiglemont, France",Saint Laurent,49.764183,4.771755,SAINT-LAURENT,"22 Rue des Genêts, 08090 Saint-Laurent, France",10,10
Aiglemont,49.781558,4.765990,AIGLEMONT,"1 Rue Charles de Gaulle, 08090 Aiglemont, France",Gare de Nouzonville,49.812281 ,4.743186,NOUZONVILLE,"Gare de Nouzonville, 08700 Nouzonville, France",14,23
Gare de Nouzonville,49.812281 ,4.743186,NOUZONVILLE,"Gare de Nouzonville, 08700 Nouzonville, France",Pont de Nouzonville,49.816503 ,4.740041,NOUZONVILLE,"1 Rue du Pont, 08700 Nouzonville, France",2,2
La Havetière,49.797853 ,4.712416,CHARLEVILLE-MEZIERES,"Horizon, 08000 Charleville-Mézières, France",La Culbute,49.792613 ,4.726385,CHARLEVILLE-MEZIERES,"Clouet, 08000 Charleville-Mézières, France",6,6
La Warenne,49.760378,4.685678,CHARLEVILLE-MEZIERES,"Prom. de la Warenne, 08000 Charleville-Mézières, France",Mairie de Warcq,49.769007,4.680596,WARCQ,"20 Rue de la République, 08000 Warcq, France",9,9
Mairie de Warcq,49.769007,4.680596,WARCQ,"20 Rue de la République, 08000 Warcq, France",Mairie de Prix-lès-Mézières,49.754407 ,4.687684,PRIX-LES-MEZIERES,"1 Rue d'Evigny, 08000 Prix-lès-Mézières, France",18,18
Centre Commercial,49.739021, 4.707187,CHARLEVILLE-MEZIERES,"2 Rue Paulin Richier, 08000 Charleville-Mézières, France",Campus Sup Ardennes,49.739113,4.721216,CHARLEVILLE-MEZIERES,"3 Boulevard Jean Delautre, 08000 Charleville-Mézières, France",5,6
Campus Sup Ardennes,49.739113,4.721216,CHARLEVILLE-MEZIERES,"3 Boulevard Jean Delautre, 08000 Charleville-Mézières, France",Mairie de La Francheville,49.728649,4.712253,LA FRANCHEVILLE,"2bis Rue d'Evigny, 08000 La Francheville, France",7,7
Pont Voie Ferrée,49.744112,4.735081,CHARLEVILLE-MEZIERES,"10 Rue Paul Bert, 08000 Charleville-Mézières, France",Mairie de Villers-Semeuse,49.742563,4.7468,VILLERS-SEMEUSE,"11 Rue Ferdinand Buisson, 08000 Villers-Semeuse, France",4,4
Pont Voie Ferrée,49.744113,4.735082,CHARLEVILLE-MEZIERES,"10 Rue Paul Bert, 08000 Charleville-Mézières, France",ZI de Charleville-Mézières,49.737554,4.733999,CHARLEVILLE-MEZIERES,"12 Rue Camille Didier, 08000 Charleville-Mézières, France",5,5
Semeuse,49.748633,4.752874,VILLERS-SEMEUSE,"42 Rue Pierre Curie, 08000 Villers-Semeuse, France",Mairie de Villers-Semeuse,49.742563,4.7468,VILLERS-SEMEUSE,"11 Rue Ferdinand Buisson, 08000 Villers-Semeuse, France",4,4
Mairie de Villers-Semeuse,49.742564,4.7469,VILLERS-SEMEUSE,"11 Rue Ferdinand Buisson, 08000 Villers-Semeuse, France",ZI de Charleville-Mézières,49.737554,4.733999,CHARLEVILLE-MEZIERES,"12 Rue Camille Didier, 08000 Charleville-Mézières, France",5,5
Mairie de Villers-Semeuse,49.742565,4.7470,VILLERS-SEMEUSE,"11 Rue Ferdinand Buisson, 08000 Villers-Semeuse, France",Centre Commercial,49.732376 ,4.752932,LES AYVELLES,"D764, 08000 Les Ayvelles, France",6,6
Les Ayvelles,49.722339 ,4.756394,VILLERS-SEMEUSE,"Ballastières, 08000 Les Ayvelles, France",Centre Commercial,49.732376 ,4.752933,VILLERS-SEMEUSE,"D764, 08000 Les Ayvelles, France",5,5
Fort des Ayvelles,49.725566 ,4.732754,VILLERS-SEMEUSE,"46 Rue Louise Michel, 08000 Villers-Semeuse, France",Mairie de Villers-Semeuse,49.742564,4.7469,VILLERS-SEMEUSE,"11 Rue Ferdinand Buisson, 08000 Villers-Semeuse, France",13,10
Fort des Ayvelles,49.725566 ,4.732754,VILLERS-SEMEUSE,"46 Rue Louise Michel, 08000 Villers-Semeuse, France",Mairie de La Francheville,49.728649,4.712253,LA FRANCHEVILLE,"2bis Rue d'Evigny, 08000 La Francheville, France",7,8
Fort des Ayvelles,49.725566 ,4.732754,VILLERS-SEMEUSE,"46 Rue Louise Michel, 08000 Villers-Semeuse, France",Les Ayvelles,49.722339 ,4.756394,LES AYVELLES,"Ballastières, 08000 Les Ayvelles, France",11,14
Damouzy,49.797616,4.675881,DAMOUZY,"2 Rue du Pâquis, 08090 Damouzy, France",Houldizy,49.81033 , 4.670144,HOULDIZY,"1 rue de gourge, 08090 Houldizy, France",10,8
Damouzy,49.797616,4.675881,DAMOUZY,"2 Rue du Pâquis, 08090 Damouzy, France",La Mal Campée,49.785999 , 4.677869,WARCQ,"130 boulevard Lucien Pierquin, 08000 Warcq, France",7,7
La Mal Campée,49.785999 , 4.677869,WARCQ,"130 boulevard Lucien Pierquin, 08000 Warcq, France",N43,49.778295,4.695448,WARCQ,"34 Boulevard Lucien Pierquin, 08000 Warcq, France",6,6
La Mal Campée,49.785999 , 4.677869,WARCQ,"130 boulevard Lucien Pierquin, 08000 Warcq, France",Etion,49.785662 ,4.695429,CHARLEVILLE-MEZIERES,"207 Rue d'Etion, 08000 Charleville-Mézières, France",9,9
Gare de Nouzonville,49.812281 ,4.743186,NOUZONVILLE,"Gare de Nouzonville, 08700 Nouzonville, France",Neufmanil,49.810281 , 4.794644,NEUFMANIL,"57 rue Jean Jaures, 08700 Neufmanil, France",16,12
Aiglemont,49.781557,4.765989,AIGLEMONT,"1 Rue Charles de Gaulle, 08090 Aiglemont, France",Neufmanil,49.810281 , 4.794644,NEUFMANIL,"57 rue Jean Jaures, 08700 Neufmanil, France",19,13
La Grandville,49.779295 , 4.795625,LA GRANDVILLE,"2 place du lavoir, 08700 La Grandville, France",Neufmanil,49.810281 , 4.794644,NEUFMANIL,"57 rue Jean Jaures, 08700 Neufmanil, France",15,11
Aiglemont,49.781557,4.765989,AIGLEMONT,"1 Rue Charles de Gaulle, 08090 Aiglemont, France",La Grandville,49.779295 , 4.795625,LA GRANDVILLE,"2 place du lavoir, 08700 La Grandville, France",12,12
Saint Laurent,49.764183,4.771755,SAINT-LAURENT,"22 Rue des Genêts, 08090 Saint-Laurent, France",La Grandville,49.779295 , 4.795625,LA GRANDVILLE,"2 place du lavoir, 08700 La Grandville, France",10,10
Saint Laurent,49.764183,4.771755,SAINT-LAURENT,"22 Rue des Genêts, 08090 Saint-Laurent, France",Ville-sur-Lumes,49.753519 , 4.786724,VILLE-SUR-LUMES,"1 rue de Romery, 08440 Ville-sur-Lumes, France",5,8
Ville-sur-Lumes,49.753519 , 4.786724,VILLE-SUR-LUMES,"1 rue de Romery, 08440 Ville-sur-Lumes, France",La Grandville,49.779295 , 4.795625,LA GRANDVILLE,"2 place du lavoir, 08700 La Grandville, France",16,14
Romery,49.751174,4.768733,SAINT-LAURENT,"Romery, 08090 Saint-Laurent, France",Ville-sur-Lumes,49.753519 , 4.786724,VILLE-SUR-LUMES,"1 rue de Romery, 08440 Ville-sur-Lumes, France",10,4
Romery,49.751174,4.768733,SAINT-LAURENT,"Romery, 08090 Saint-Laurent, France",Pont de Lumes,49.737819, 4.776488,LUMES,"40 rue du pont, 08440 Lumes, France",8,8
Pont de Lumes,49.737819, 4.776488,LUMES,"40 rue du pont, 08440 Lumes, France",Gare de Lumes,49.733168 , 4.783427,LUMES,"Gare de Lumes, 08440 Lumes, France",4,4
Pont de Lumes,49.737819, 4.776488,LUMES,"40 rue du pont, 08440 Lumes, France",Semeuse,49.748633,4.752874,VILLERS-SEMEUSE,"42 Rue Pierre Curie, 08000 Villers-Semeuse, France",9,9
Pont de Lumes,49.737819, 4.776488,LUMES,"40 rue du pont, 08440 Lumes, France",Mairie de Villers-Semeuse,49.742563,4.7468,VILLERS-SEMEUSE,"11 Rue Ferdinand Buisson, 08000 Villers-Semeuse, France",12,12
